Address,Entity name,Category,Risk level,Source of information,Confidence score,Notes
Bridge1p5gheXUvJ6jGWGeCsgPKgnE3YgdGKRVCMY9o,"Wormhole (Core Contract)",Bridge,High,"Provided Document - Section 3 / Table 2",5,"Part of the Wormhole protocol which suffered a major ~$320M wETH exploit (Feb 2022) via signature bypass. Attack funded via Tornado Cash. Stolen funds laundered cross-chain via DEXs/DeFi. Tracked by TRM/Elliptic/Chainalysis."
wormDTUJ6AWPNvk59vGQbDvGJmqbDTdgWgAqcLBCgUb,"Wormhole (Token Bridge)",Bridge,High,"Provided Document - Section 3 / Table 2",5,"Part of the Wormhole protocol which suffered a major ~$320M wETH exploit (Feb 2022). This specific bridge component was involved in the cross-chain transfer aspect."
worm2ZoG2kUd4vFXhvjh93UUH596ayRfgQ2MgjNMTth,"Wormhole (NFT Bridge)",Bridge,High,"Provided Document - Section 3 / Table 2",5,"Part of the Wormhole protocol which suffered a major ~$320M wETH exploit (Feb 2022). General high risk associated with the protocol due to the exploit."
WMsgXcEUmPxovkauyhNXv5BU47e52VQgajRQYvGiqSP,"Wormhole (Messaging)",Bridge,High,"Provided Document - Section 3 / Table 2",5,"Part of the Wormhole protocol which suffered a major ~$320M wETH exploit (Feb 2022). Messaging layer crucial for cross-chain communication."
CctpV8uRiXws7KZxpUXfPWy9BhCiWaeBRzsJgELvQKvu,"Wormhole (Circle CCTP Integration)",Bridge,High,"Provided Document - Section 3 / Table 2",5,"Integrates Circle's CCTP via Wormhole; associated with the high-risk Wormhole protocol due to the major 2022 exploit."
BrdgN2RPzEMWF96ZbnnJaUtQDQx7VRXYaHHbYCBvceWB,"Allbridge (Bridge Program)",Bridge,High,"Provided Document - Section 3 / Table 2",5,"Suffered ~$570k exploit (Apr 2023) via swap price manipulation. Partial fund return negotiated with attacker (treated as bounty). General cross-chain layering risk."
G6Qo3WW7RbWpSmACAocTBVgx6JW5kgRpUhABphEoDMfP,"Allbridge (USDC Pool Token Account Example)",Bridge,High,"Provided Document - Section 3 / Table 2",4,"Associated with Allbridge, which was exploited in Apr 2023 by manipulating swap prices in liquidity pools like this one."
bb1XfNoER5QC3rhVDaVz3AJp9oFKoHNHG6PHfZLcCjj,"Allbridge (Older Bridge Account)",Bridge,High,"Provided Document - Section 3 / Table 2",3,"Older contract associated with Allbridge, which was exploited in Apr 2023."
CYEFQXzQM6E5P8ZrXgS7XMSwU3CiqHMMyACX4zuaA2Z4,"Allbridge (Associated Authority PDA)",Bridge,High,"Provided Document - Section 3 / Table 2",3,"Authority Program Derived Address (PDA) linked to older Allbridge contracts; associated with the exploited protocol."
DdFPRnccQqLD4zCHrBqdY95D6hvw6PLWp9DEXj1fLCL9,"Allbridge (Potential Wrapped Asset Mint Authority)",Bridge,High,"Provided Document - Section 3 / Table 2",2,"Mint authority potentially related to Allbridge wrapped assets, linked via PDA CYEF...; associated with exploited protocol."
DEbrdGj3HsRsAzx6uH4MKyREKxVAfBydijLUF3ygsFfh,"deBridge (Main Bridge Program)",Bridge,Medium,"Provided Document - Section 3 / Table 2",5,"Targeted by suspected Lazarus Group phishing campaign (Aug 2022), although the attack was unsuccessful. Highlights targeting by state-sponsored actors. General cross-chain layering risk."
DeSetTwWhjZq6Pz9Kfdo1KoS5NqtsM6G8ERbX4SSCSft,"deBridge (Settings Program)",Bridge,Medium,"Provided Document - Section 3 / Table 2",5,"Associated with deBridge protocol, which was targeted by Lazarus Group (unsuccessfully). General bridge risks apply."
src5qyZHqTqecJV4aY6Cb6zDZLMDzrDKKezs22MPHr4,"deBridge (DLN Source)",Bridge,Medium,"Provided Document - Section 3 / Table 2",5,"Associated with deBridge protocol (DLN Source), which was targeted by Lazarus Group (unsuccessfully). General bridge risks apply."
dst5MGcFPoBeREFAA5E3tU5ij8m5uVYwkzkSAbsLbNo,"deBridge (DLN Destination)",Bridge,Medium,"Provided Document - Section 3 / Table 2",5,"Associated with deBridge protocol (DLN Destination), which was targeted by Lazarus Group (unsuccessfully). General bridge risks apply."
GwKKPsJdY5oWMJ8RReWLcvb82KzW6FKy2bKoYW7kHr16,"deBridge (Wrapped Asset Example - LLD)",Bridge,Medium,"Provided Document - Section 3 / Table 2",4,"Example wrapped asset (LLD) facilitated by deBridge, which was targeted by Lazarus Group (unsuccessfully). General bridge risks apply."
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,"Jupiter (Swap Program V6)",Exchange,Medium,"Provided Document - Section 4.1 / Table 3",4,"Leading Swap Aggregator; routes trades across DEXs. General DEX layering risk; aggregation complexity may aid obfuscation. No specific incidents cited in source."
jupoNjAxXgZ4rjzxzPMP4oxduvQsQtZzyknqvzYNrNu,"Jupiter (Limit Order Program)",Exchange,Medium,"Provided Document - Section 4.1 / Table 3",4,"Associated with Jupiter Aggregator. General DEX layering risk. No specific incidents cited in source."
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,"Raydium (Legacy AMM v4)",Exchange,Medium,"Provided Document - Section 4.1 / Table 3",4,"DEX (AMM & Order Book). General DEX layering risk. No specific incidents cited in source."
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,"Raydium (Standard AMM CP-Swap)",Exchange,Medium,"Provided Document - Section 4.1 / Table 3",4,"DEX (Standard AMM). General DEX layering risk. No specific incidents cited in source."
5quBtoiQqxF9Jv6KYKctB59NT3gtJD2Y65kdnB1Uev3h,"Raydium (Stable Swap AMM)",Exchange,Medium,"Provided Document - Section 4.1 / Table 3",4,"DEX (Stable Swap AMM). General DEX layering risk. No specific incidents cited in source."
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,"Raydium (CLMM)",Exchange,Medium,"Provided Document - Section 4.1 / Table 3",4,"DEX (Concentrated Liquidity). General DEX layering risk. No specific incidents cited in source."
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,"Raydium (AMM Routing)",Exchange,Medium,"Provided Document - Section 4.1 / Table 3",4,"DEX (AMM Routing). General DEX layering risk. No specific incidents cited in source."
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,"Orca (Whirlpool Program)",Exchange,Medium,"Provided Document - Section 4.1 / Table 3",4,"DEX (AMM with Concentrated Liquidity 'Whirlpools'). General DEX layering risk. No specific incidents cited in source."
PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY,"Phoenix (DEX Protocol)",Exchange,Medium,"Provided Document - Section 4.1 / Table 3",4,"DEX (likely Order Book). General DEX layering risk. No specific incidents cited in source."
